input_max_length,attention,tag,ruler_niah_mk_2 ruler_recall,ruler_niah_mk_3 ruler_recall,ruler_niah_mv ruler_recall,json_kv substring_exact_match,nq substring_exact_match,triviaqa substring_exact_match,hotpotqa substring_exact_match,popqa substring_exact_match,infbench_qa rougeL_f1,infbench_choice exact_match,msmarco_rerank_psg NDCG@10,trec_coarse exact_match,trec_fine exact_match,banking77 exact_match,clinic150 exact_match,nlu exact_match,alce_asqa str_em,alce_asqa citation_rec,alce_asqa citation_prec,alce_qampari qampari_rec_top5,alce_qampari citation_rec,alce_qampari citation_prec,Recall,RAG,ICL,Cite,Re-rank,LongQA,Ours
16384,xflex,xflex_threshold0.2_scoreratio0.95,0.0,0.0,0.0,0.0,0.0,90.0,60.333333333333336,59.0,28.307278342572463,39.0,51.38549593495934,70.19999999999999,53.800000000000004,81.6,89.0,85.2,44.95000000000001,38.05010822510823,32.63930480424288,19.999999999999996,8.493442604586704,9.480462649762181,0.0,52.333333333333336,75.96000000000001,25.602219713950003,51.38549593495934,33.65363917128623,39.82244802558815
16384,xflex,xflex_threshold0.9_scoreratio0.9,100.0,100.0,100.0,100.0,57.833333333333336,90.33333333333333,62.0,59.333333333333336,28.183095336036512,38.0,51.34802439024389,70.0,54.800000000000004,81.2,89.0,85.2,43.36666666666667,38.875252525252534,34.36460260012892,19.199999999999996,8.4243424096489,9.257253505228054,100.0,67.375,76.03999999999999,25.581352951154184,51.34802439024389,33.09154766801826,58.90598750156939
32768,full,full_flashinfer,100.0,99.0,99.75,100.0,55.833333333333336,89.33333333333333,57.333333333333336,58.333333333333336,33.28005200681671,52.0,42.3969918699187,68.8,56.599999999999994,86.0,92.4,87.0,29.71666666666667,7.957936507936508,8.231421356421357,21.8,5.737173406085056,5.209094380066994,99.6875,65.20833333333333,78.16,13.108715386196101,42.3969918699187,42.64002600340835,56.86692776547608
32768,xattn,xattn_threshold0.95,99.0,98.0,99.75,100.0,56.99999999999999,0.0,0.6666666666666667,0.0,32.463768290533,50.0,39.7509593495935,70.19999999999999,56.39999999999999,86.4,92.4,86.8,28.933333333333337,5.93030303030303,6.358730158730159,15.2,7.603915230785504,6.570953595968835,99.1875,14.416666666666664,78.44,11.766205891520144,39.7509593495935,41.2318841452665,47.465536008841134
32768,xattn,xattn_threshold0.9,97.0,97.0,98.75,100.0,57.49999999999999,89.0,56.99999999999999,57.333333333333336,31.72376107552578,48.0,38.95445528455285,70.39999999999999,57.199999999999996,85.8,92.80000000000001,87.4,0.0,0.0,0.0,0.0,0.0,0.0,98.1875,65.20833333333333,78.72,0.0,38.95445528455285,39.861880537762886,53.48869485927484
32768,flex,flex_gamma0.95_tau0.1,98.0,97.0,99.5,95.0,56.666666666666664,88.66666666666667,56.00000000000001,55.50000000000001,30.747701742701743,47.0,30.02888617886179,79.80000000000001,51.6,84.39999999999999,91.2,87.2,30.099999999999998,2.469949494949495,3.3375541125541126,11.8,5.465963916270411,5.022313493574621,97.375,64.20833333333334,78.84,9.699296836224772,30.02888617886179,38.87385087135087,53.17089453662845
32768,flex,flex_gamma0.9_tau0.1,93.0,76.0,90.0,74.0,56.49999999999999,88.83333333333333,54.0,53.0,30.656240818005525,45.0,17.350065040650406,80.80000000000001,46.400000000000006,82.39999999999999,89.2,84.6,6.916666666666665,0.0,0.0,2.0,0.6582842278494452,0.7229701456932578,83.25,63.08333333333333,76.67999999999999,1.716320173368228,17.350065040650406,37.828120409002764,46.65130649272578
32768,xflex,xflex_threshold0.95_scoreratio0.95,100.0,99.0,99.0,100.0,56.00000000000001,89.5,57.333333333333336,58.5,32.64758447434918,51.0,42.91829268292683,69.39999999999999,56.39999999999999,86.4,92.2,86.6,28.133333333333333,9.35982905982906,8.700793650793651,19.4,6.717287646119965,6.2078037458266255,99.5,65.33333333333334,78.2,13.086507905983773,42.91829268292683,41.82379223717459,56.81032102656976
32768,xflex,xflex_threshold0.95_scoreratio0.5,100.0,98.0,99.25,100.0,56.333333333333336,90.16666666666666,56.99999999999999,58.333333333333336,33.564667391432096,51.0,43.1829512195122,69.19999999999999,56.599999999999994,86.4,92.2,87.0,28.683333333333337,9.167063492063493,9.018073593073593,14.6,5.268584133711904,5.40925460287576,99.3125,65.45833333333333,78.28,12.02438485917635,43.1829512195122,42.28233369571605,56.75675051795631
32768,xflex,xflex_threshold0.95_scoreratio0.2,99.0,97.0,99.0,0.0,0.0,0.0,56.99999999999999,58.333333333333336,33.365283442048145,51.0,42.856105691056904,69.19999999999999,56.2,86.0,92.4,86.8,28.049999999999997,7.668650793650794,7.361616161616162,17.6,5.72047526275747,6.02542485169213,73.75,28.833333333333332,78.11999999999999,12.071027844952761,42.856105691056904,42.18264172102407,46.30218476506118
